campaign_id,merchant_id,occasion,start_date,end_date,duration_days,discount_pct,city,source_label
syn_maestro_ramadan_2022,maestro,ramadan,2022-04-04,2022-04-11,7,26,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_eid_fitr_2022,flynas,eid_fitr,2022-04-27,2022-05-04,7,15,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_eid_fitr_2022,saudia,eid_fitr,2022-04-28,2022-05-05,7,7,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_eid_fitr_2022,half_million,eid_fitr,2022-04-29,2022-05-06,7,18,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_eid_fitr_2022,jarir,eid_fitr,2022-04-29,2022-05-04,5,8,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_eid_fitr_2022,noon_saudi,eid_fitr,2022-04-30,2022-05-07,7,21,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_eid_fitr_2022,herfy,eid_fitr,2022-05-02,2022-05-06,4,10,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_eid_fitr_2022,dose,eid_fitr,2022-05-04,2022-05-07,3,16,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_eid_adha_2022,al_dawaa,eid_adha,2022-07-05,2022-07-09,4,11,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_eid_adha_2022,flynas,eid_adha,2022-07-06,2022-07-11,5,20,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_eid_adha_2022,half_million,eid_adha,2022-07-06,2022-07-09,3,19,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_eid_adha_2022,dose,eid_adha,2022-07-07,2022-07-12,5,12,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_eid_adha_2022,noon_saudi,eid_adha,2022-07-10,2022-07-14,4,18,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_barns_eid_adha_2022,barns,eid_adha,2022-07-11,2022-07-14,3,18,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_back_to_school_2022,saudia,back_to_school,2022-08-19,2022-08-23,4,11,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_back_to_school_2022,shawarmer,back_to_school,2022-08-20,2022-08-26,6,13,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_back_to_school_2022,al_dawaa,back_to_school,2022-08-21,2022-08-27,6,10,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_back_to_school_2022,noon_saudi,back_to_school,2022-08-22,2022-08-24,2,25,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_back_to_school_2022,extra,back_to_school,2022-08-23,2022-08-27,4,21,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_national_day_2022,camel_step,national_day,2022-09-19,2022-09-23,4,25,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_national_day_2022,jarir,national_day,2022-09-19,2022-09-24,5,6,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_national_day_2022,shawarmer,national_day,2022-09-19,2022-09-23,4,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_national_day_2022,dose,national_day,2022-09-20,2022-09-22,2,14,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_national_day_2022,flynas,national_day,2022-09-22,2022-09-28,6,13,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_national_day_2022,noon_saudi,national_day,2022-09-22,2022-09-24,2,19,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_national_day_2022,saudia,national_day,2022-09-23,2022-09-28,5,19,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_national_day_2022,half_million,national_day,2022-09-25,2022-09-28,3,12,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_riyadh_season_2022,herfy,riyadh_season,2022-10-11,2022-10-15,4,9,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_riyadh_season_2022,noon_saudi,riyadh_season,2022-10-13,2022-10-15,2,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_riyadh_season_2022,panda,riyadh_season,2022-10-16,2022-10-18,2,5,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_riyadh_season_2022,maestro,riyadh_season,2022-10-17,2022-10-21,4,27,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_founding_day_2023,saudia,founding_day,2023-02-20,2023-02-25,5,12,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_founding_day_2023,shawarmer,founding_day,2023-02-21,2023-02-25,4,24,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_founding_day_2023,maestro,founding_day,2023-02-22,2023-02-25,3,26,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_ramadan_2023,shawarmer,ramadan,2023-03-18,2023-03-20,2,19,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_ramadan_2023,camel_step,ramadan,2023-03-19,2023-03-22,3,15,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_ramadan_2023,albaik,ramadan,2023-03-20,2023-03-22,2,21,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_barns_ramadan_2023,barns,ramadan,2023-03-21,2023-03-26,5,20,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_ramadan_2023,dose,ramadan,2023-03-21,2023-03-24,3,20,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_ramadan_2023,panda,ramadan,2023-03-22,2023-03-29,7,11,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_ramadan_2023,herfy,ramadan,2023-03-24,2023-03-27,3,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_ramadan_2023,extra,ramadan,2023-03-25,2023-03-31,6,14,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_ramadan_2023,flynas,ramadan,2023-03-25,2023-03-31,6,21,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_ramadan_2023,maestro,ramadan,2023-03-25,2023-03-27,2,24,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_eid_fitr_2023,albaik,eid_fitr,2023-04-19,2023-04-25,6,16,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_eid_fitr_2023,saudia,eid_fitr,2023-04-19,2023-04-26,7,7,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_barns_eid_fitr_2023,barns,eid_fitr,2023-04-20,2023-04-27,7,22,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_eid_fitr_2023,camel_step,eid_fitr,2023-04-20,2023-04-23,3,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_eid_fitr_2023,herfy,eid_fitr,2023-04-20,2023-04-26,6,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_eid_fitr_2023,maestro,eid_fitr,2023-04-21,2023-04-26,5,23,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_eid_fitr_2023,panda,eid_fitr,2023-04-23,2023-04-28,5,11,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_eid_adha_2023,jarir,eid_adha,2023-06-24,2023-07-01,7,6,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_eid_adha_2023,half_million,eid_adha,2023-06-25,2023-06-29,4,13,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_eid_adha_2023,saudia,eid_adha,2023-06-25,2023-06-29,4,15,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_eid_adha_2023,dose,eid_adha,2023-06-26,2023-06-30,4,22,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_eid_adha_2023,shawarmer,eid_adha,2023-06-26,2023-06-30,4,20,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_eid_adha_2023,maestro,eid_adha,2023-06-28,2023-06-30,2,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_back_to_school_2023,camel_step,back_to_school,2023-08-19,2023-08-25,6,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_back_to_school_2023,extra,back_to_school,2023-08-19,2023-08-23,4,11,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_back_to_school_2023,al_dawaa,back_to_school,2023-08-20,2023-08-25,5,6,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_back_to_school_2023,albaik,back_to_school,2023-08-21,2023-08-28,7,11,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_back_to_school_2023,noon_saudi,back_to_school,2023-08-21,2023-08-26,5,27,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_back_to_school_2023,maestro,back_to_school,2023-08-22,2023-08-25,3,26,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_national_day_2023,shawarmer,national_day,2023-09-18,2023-09-25,7,24,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_national_day_2023,saudia,national_day,2023-09-20,2023-09-23,3,15,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_national_day_2023,camel_step,national_day,2023-09-21,2023-09-24,3,15,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_national_day_2023,noon_saudi,national_day,2023-09-22,2023-09-28,6,18,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_national_day_2023,jarir,national_day,2023-09-24,2023-09-29,5,5,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_national_day_2023,extra,national_day,2023-09-25,2023-10-01,6,19,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_national_day_2023,half_million,national_day,2023-09-25,2023-09-30,5,20,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_riyadh_season_2023,al_dawaa,riyadh_season,2023-10-10,2023-10-15,5,16,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_riyadh_season_2023,herfy,riyadh_season,2023-10-11,2023-10-17,6,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_riyadh_season_2023,flynas,riyadh_season,2023-10-12,2023-10-15,3,18,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_riyadh_season_2023,panda,riyadh_season,2023-10-15,2023-10-21,6,12,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_riyadh_season_2023,noon_saudi,riyadh_season,2023-10-16,2023-10-20,4,20,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_founding_day_2024,extra,founding_day,2024-02-18,2024-02-20,2,14,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_founding_day_2024,noon_saudi,founding_day,2024-02-18,2024-02-23,5,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_founding_day_2024,albaik,founding_day,2024-02-19,2024-02-25,6,18,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_founding_day_2024,camel_step,founding_day,2024-02-20,2024-02-23,3,16,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_founding_day_2024,al_dawaa,founding_day,2024-02-22,2024-02-27,5,17,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_founding_day_2024,shawarmer,founding_day,2024-02-22,2024-02-27,5,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_founding_day_2024,dose,founding_day,2024-02-23,2024-02-25,2,18,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_ramadan_2024,shawarmer,ramadan,2024-03-06,2024-03-10,4,18,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_ramadan_2024,camel_step,ramadan,2024-03-07,2024-03-10,3,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_ramadan_2024,herfy,ramadan,2024-03-07,2024-03-12,5,11,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_ramadan_2024,maestro,ramadan,2024-03-07,2024-03-10,3,26,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_ramadan_2024,noon_saudi,ramadan,2024-03-07,2024-03-13,6,28,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_ramadan_2024,panda,ramadan,2024-03-08,2024-03-14,6,15,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_ramadan_2024,extra,ramadan,2024-03-09,2024-03-12,3,18,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_ramadan_2024,half_million,ramadan,2024-03-11,2024-03-15,4,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_ramadan_2024,dose,ramadan,2024-03-13,2024-03-18,5,15,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_eid_fitr_2024,shawarmer,eid_fitr,2024-04-05,2024-04-10,5,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_eid_fitr_2024,saudia,eid_fitr,2024-04-06,2024-04-10,4,9,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_eid_fitr_2024,flynas,eid_fitr,2024-04-07,2024-04-14,7,14,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_eid_fitr_2024,herfy,eid_fitr,2024-04-08,2024-04-11,3,9,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_eid_fitr_2024,panda,eid_fitr,2024-04-08,2024-04-12,4,5,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_eid_fitr_2024,albaik,eid_fitr,2024-04-09,2024-04-13,4,17,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_eid_fitr_2024,maestro,eid_fitr,2024-04-09,2024-04-14,5,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_eid_fitr_2024,al_dawaa,eid_fitr,2024-04-10,2024-04-15,5,5,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_eid_fitr_2024,camel_step,eid_fitr,2024-04-10,2024-04-15,5,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_eid_fitr_2024,noon_saudi,eid_fitr,2024-04-10,2024-04-12,2,24,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_eid_fitr_2024,jarir,eid_fitr,2024-04-11,2024-04-18,7,15,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_eid_fitr_2024,dose,eid_fitr,2024-04-12,2024-04-18,6,19,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_eid_adha_2024,shawarmer,eid_adha,2024-06-14,2024-06-21,7,16,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_eid_adha_2024,dose,eid_adha,2024-06-15,2024-06-20,5,16,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_eid_adha_2024,jarir,eid_adha,2024-06-15,2024-06-19,4,9,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_eid_adha_2024,flynas,eid_adha,2024-06-16,2024-06-19,3,18,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_eid_adha_2024,saudia,eid_adha,2024-06-16,2024-06-23,7,16,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_eid_adha_2024,albaik,eid_adha,2024-06-17,2024-06-23,6,18,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_eid_adha_2024,panda,eid_adha,2024-06-18,2024-06-25,7,5,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_back_to_school_2024,extra,back_to_school,2024-08-19,2024-08-24,5,10,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_back_to_school_2024,albaik,back_to_school,2024-08-20,2024-08-23,3,13,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_back_to_school_2024,al_dawaa,back_to_school,2024-08-22,2024-08-25,3,11,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_back_to_school_2024,jarir,back_to_school,2024-08-23,2024-08-27,4,25,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_back_to_school_2024,shawarmer,back_to_school,2024-08-23,2024-08-26,3,20,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_back_to_school_2024,noon_saudi,back_to_school,2024-08-25,2024-08-28,3,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_national_day_2024,noon_saudi,national_day,2024-09-18,2024-09-20,2,21,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_national_day_2024,extra,national_day,2024-09-19,2024-09-21,2,18,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_national_day_2024,maestro,national_day,2024-09-20,2024-09-26,6,23,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_national_day_2024,albaik,national_day,2024-09-21,2024-09-23,2,10,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_national_day_2024,flynas,national_day,2024-09-21,2024-09-23,2,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_national_day_2024,saudia,national_day,2024-09-22,2024-09-27,5,14,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_national_day_2024,al_dawaa,national_day,2024-09-24,2024-09-29,5,15,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_national_day_2024,camel_step,national_day,2024-09-24,2024-09-29,5,13,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_national_day_2024,half_million,national_day,2024-09-24,2024-09-28,4,23,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_national_day_2024,herfy,national_day,2024-09-24,2024-09-29,5,14,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_national_day_2024,jarir,national_day,2024-09-24,2024-09-28,4,7,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_riyadh_season_2024,maestro,riyadh_season,2024-10-13,2024-10-15,2,26,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_riyadh_season_2024,dose,riyadh_season,2024-10-15,2024-10-20,5,20,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_founding_day_2025,al_dawaa,founding_day,2025-02-17,2025-02-22,5,8,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_founding_day_2025,saudia,founding_day,2025-02-17,2025-02-23,6,10,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_founding_day_2025,camel_step,founding_day,2025-02-18,2025-02-21,3,18,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_founding_day_2025,herfy,founding_day,2025-02-18,2025-02-25,7,21,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_founding_day_2025,dose,founding_day,2025-02-20,2025-02-26,6,20,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_founding_day_2025,flynas,founding_day,2025-02-20,2025-02-24,4,13,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_shawarmer_founding_day_2025,shawarmer,founding_day,2025-02-22,2025-02-24,2,19,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_ramadan_2025,camel_step,ramadan,2025-02-24,2025-03-01,5,20,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_founding_day_2025,half_million,founding_day,2025-02-24,2025-03-02,6,20,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_ramadan_2025,saudia,ramadan,2025-02-24,2025-02-26,2,13,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_ramadan_2025,albaik,ramadan,2025-02-25,2025-03-02,5,20,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_ramadan_2025,dose,ramadan,2025-02-25,2025-03-03,6,13,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_ramadan_2025,panda,ramadan,2025-02-25,2025-02-27,2,8,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_ramadan_2025,maestro,ramadan,2025-02-27,2025-03-01,2,21,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_ramadan_2025,half_million,ramadan,2025-02-28,2025-03-05,5,20,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_ramadan_2025,jarir,ramadan,2025-03-02,2025-03-04,2,20,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_ramadan_2025,herfy,ramadan,2025-03-03,2025-03-05,2,24,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_eid_fitr_2025,noon_saudi,eid_fitr,2025-03-27,2025-03-30,3,24,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_eid_fitr_2025,extra,eid_fitr,2025-03-29,2025-04-02,4,17,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_flynas_eid_fitr_2025,flynas,eid_fitr,2025-03-29,2025-04-05,7,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_eid_fitr_2025,panda,eid_fitr,2025-04-01,2025-04-06,5,5,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_eid_adha_2025,camel_step,eid_adha,2025-06-02,2025-06-08,6,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_eid_adha_2025,saudia,eid_adha,2025-06-02,2025-06-06,4,7,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_herfy_eid_adha_2025,herfy,eid_adha,2025-06-03,2025-06-08,5,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_eid_adha_2025,jarir,eid_adha,2025-06-03,2025-06-07,4,5,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_maestro_back_to_school_2025,maestro,back_to_school,2025-08-18,2025-08-21,3,26,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_back_to_school_2025,panda,back_to_school,2025-08-18,2025-08-24,6,11,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_back_to_school_2025,camel_step,back_to_school,2025-08-20,2025-08-27,7,27,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_back_to_school_2025,extra,back_to_school,2025-08-23,2025-08-29,6,13,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_back_to_school_2025,jarir,back_to_school,2025-08-24,2025-08-30,6,17,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
